,,,CarTime,CarDistance (km),BusTime,BusCost,BusMRTTime,BusMRTCost ($),TaxiCost ($)
Admiralty MRT Station,,,23 min,29.09,,,94 min,2.02,31.45
Ang Mo Kio MRT Station,,,17 min,18.95,66 min,1.7,75 min,1.86,22.08
Beauty World MRT Station,,,21 min,25.38,58 min,1.93,52 min,1.88,27.58
Bishan MRT Station,,,17 min,18.34,,,40 min,1.95,20.83
Buangkok MRT Station,,,12 min,14.58,,,87 min,2.2,17.08
Bukit Panjang MRT Station,,,24 min,28.81,,,59 min,1.95,33.33
Chinese Garden MRT Station,,,25 min,31.14,80 min,3.4,66 min,1.99,33.7
Choa Chu Kang MRT Station,,,26 min,32.78,77 min,2,77 min,2.05,38.08
Clementi MRT Station,,,26 min,33.23,,,59 min,1.94,35.45
Dakota MRT Station,,,12 min,14.95,38 min,1.38,30 min,1.56,17.58
Eunos MRT Station,,,10 min,9.93,29 min,1.27,24 min,1.38,12.45
Hougang MRT Station,,,13 min,15.25,60 min,2.2,84 min,2.19,17.7
Jurong East MRT Station,,,25 min,30.94,83 min,3.4,63 min,1.97,33.33
Kembangan MRT Station,,,8 min,7.52,23 min,1.12,22 min,1.33,9.58
Kovan MRT Station,,,13 min,14.66,,,43 min,1.81,16.95
Marymount MRT Station,,,16 min,19.07,60 min,2.5,43 min,1.99,21.58
Pioneer MRT Station,,,30 min,38.22,,,73 min,2.03,40.58
Punggol MRT Station,,,11 min,12.39,,,93 min,2.22,15.2
Sengkang MRT Station,,,11 min,13.69,,,89 min,2.21,16.33
Serangoon MRT Station,,,14 min,14.53,50 min,2.3,35 min,1.73,16.95
Somerset MRT Station,,,17 min,21.04,,,43 min,1.7,24.33
Toa Payoh MRT Station,,,14 min,16.7,52 min,1.66,45 min,2.02,19.45
Woodlands MRT Station,,,22 min,28.2,,,97 min,2.04,30.7
Yew Tee MRT Station,,,27 min,33.35,,,79 min,2.32,38.58
Yio Chu Kang MRT Station,,,19 min,21.59,,,87 min,1.9,23.7
