field_1,mrt,string,lon,lat,frequency_,Freq_int
1,"Admiralty, MRT","Admiralty, MRT",103.800921100000000,1.440582800000000,8,8
3,"Ang Mo Kio, MRT","Ang Mo Kio, MRT",103.849587600000010,1.369971800000000,13,13
6,"Beauty World, MRT","Beauty World, MRT",103.775964599999990,1.341705400000000,7,7
8,"Bishan, MRT","Bishan, MRT",103.848161800000000,1.350705400000000,7,7
14,"Buangkok, MRT","Buangkok, MRT",103.893110500000010,1.383071500000000,9,9
18,"Bukit Panjang, MRT","Bukit Panjang, MRT",103.763107100000000,1.377951300000000,10,10
24,"Chinese Garden, MRT","Chinese Garden, MRT",103.732580900000000,1.342375700000000,5,5
25,"Choa Chu Kang, MRT","Choa Chu Kang, MRT",103.744405599999990,1.385100900000000,7,7
28,"Clementi, MRT","Clementi, MRT",103.764792200000000,1.315194000000000,6,6
30,"Dakota, MRT","Dakota, MRT",103.888679900000000,1.308367300000000,8,8
35,"Eunos, MRT","Eunos, MRT",103.902858700000000,1.319777700000000,8,8
43,"Hougang, MRT","Hougang, MRT",103.892466799999990,1.371128200000000,13,13
45,"Jurong East, MRT","Jurong East, MRT",103.742288400000010,1.333133600000000,5,5
47,"Kembangan, MRT","Kembangan, MRT",103.912909099999990,1.321027600000000,15,15
51,"Kovan, MRT","Kovan, MRT",103.885300900000000,1.359993700000000,18,18
62,"Marymount, MRT","Marymount, MRT",103.839144600000000,1.349095200000000,8,8
73,"Pioneer, MRT","Pioneer, MRT",103.696863600000000,1.337314100000000,6,6
76,"Punggol, MRT","Punggol, MRT",103.902465900000000,1.405092200000000,13,13
82,"Sengkang, MRT","Sengkang, MRT",103.895416100000010,1.391527700000000,14,14
83,"Serangoon, MRT","Serangoon, MRT",103.872939200000000,1.350828300000000,6,6
86,"Somerset, MRT","Somerset, MRT",103.838528999999990,1.300591500000000,7,7
97,"Toa Payoh, MRT","Toa Payoh, MRT",103.846519300000000,1.333308300000000,7,7
98,"Woodlands, MRT","Woodlands, MRT",103.786492499999990,1.436963000000000,8,8
100,"Yew Tee, MRT","Yew Tee, MRT",103.747500000000000,1.397381100000000,7,7
101,"Yio Chu Kang, MRT","Yio Chu Kang, MRT",103.844800800000000,1.381757600000000,9,9
